,admiration,amusement,anger,annoyance,approval,caring,confusion,curiosity,desire,disappointment,disapproval,embarrassment,excitement,fear,gratitude,grief,joy,love,nervousness,optimism,pride,realization,relief,remorse,sadness,surprise
disapproval,0.022727272727272728,0.02727272727272727,0.022727272727272728,0.08181818181818182,0.06363636363636363,0.013636363636363636,0.05,0.022727272727272728,0.004545454545454545,0.05909090909090909,0.5363636363636364,0.00909090909090909,0.004545454545454545,0.013636363636363636,0.004545454545454545,0.0,0.0,0.022727272727272728,0.0,0.00909090909090909,0.0,0.00909090909090909,0.0,0.00909090909090909,0.004545454545454545,0.00909090909090909
embarrassment,0.0,0.03225806451612903,0.0,0.12903225806451613,0.06451612903225806,0.0,0.0,0.03225806451612903,0.0,0.03225806451612903,0.06451612903225806,0.45161290322580644,0.03225806451612903,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.0,0.03225806451612903,0.03225806451612903,0.03225806451612903
excitement,0.09523809523809523,0.0,0.011904761904761904,0.023809523809523808,0.08333333333333333,0.0,0.0,0.05952380952380952,0.023809523809523808,0.0,0.0,0.0,0.4642857142857143,0.0,0.047619047619047616,0.0,0.09523809523809523,0.0,0.0,0.023809523809523808,0.0,0.023809523809523808,0.0,0.0,0.0,0.047619047619047616
fear,0.0,0.0,0.013333333333333334,0.02666666666666667,0.0,0.013333333333333334,0.0,0.0,0.0,0.013333333333333334,0.013333333333333334,0.0,0.013333333333333334,0.8533333333333334,0.0,0.0,0.0,0.0,0.02666666666666667,0.013333333333333334,0.0,0.0,0.0,0.0,0.013333333333333334,0.0
gratitude,0.08333333333333333,0.006944444444444444,0.003472222222222222,0.006944444444444444,0.003472222222222222,0.013888888888888888,0.003472222222222222,0.006944444444444444,0.0,0.003472222222222222,0.0,0.0,0.027777777777777776,0.0,0.8194444444444444,0.0,0.010416666666666666,0.0,0.0,0.006944444444444444,0.0,0.0,0.003472222222222222,0.0,0.0,0.0
grief,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0
joy,0.1206896551724138,0.06896551724137931,0.0,0.0,0.05172413793103448,0.05172413793103448,0.02586206896551724,0.008620689655172414,0.0,0.008620689655172414,0.0,0.0,0.034482758620689655,0.008620689655172414,0.017241379310344827,0.0,0.46551724137931033,0.07758620689655173,0.0,0.008620689655172414,0.0,0.017241379310344827,0.017241379310344827,0.0,0.008620689655172414,0.008620689655172414
love,0.041176470588235294,0.0058823529411764705,0.0,0.0,0.03529411764705882,0.0058823529411764705,0.0058823529411764705,0.0,0.0058823529411764705,0.0058823529411764705,0.011764705882352941,0.0,0.0058823529411764705,0.0,0.0,0.0,0.011764705882352941,0.8470588235294118,0.0058823529411764705,0.0058823529411764705,0.0,0.0,0.0,0.0,0.0058823529411764705,0.0
nervousness,0.0,0.0,0.058823529411764705,0.11764705882352941,0.0,0.0,0.058823529411764705,0.0,0.0,0.11764705882352941,0.0,0.0,0.0,0.11764705882352941,0.0,0.0,0.0,0.0,0.47058823529411764,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0
optimism,0.058333333333333334,0.016666666666666666,0.0,0.008333333333333333,0.11666666666666667,0.14166666666666666,0.025,0.008333333333333333,0.041666666666666664,0.016666666666666666,0.0,0.0,0.03333333333333333,0.008333333333333333,0.0,0.0,0.016666666666666666,0.008333333333333333,0.008333333333333333,0.45,0.0,0.016666666666666666,0.0,0.016666666666666666,0.0,0.008333333333333333
pride,0.5,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0
realization,0.05504587155963303,0.06422018348623854,0.01834862385321101,0.03669724770642202,0.22018348623853212,0.009174311926605505,0.027522935779816515,0.03669724770642202,0.0,0.027522935779816515,0.07339449541284404,0.009174311926605505,0.027522935779816515,0.009174311926605505,0.009174311926605505,0.0,0.0,0.01834862385321101,0.0,0.027522935779816515,0.0,0.25688073394495414,0.0,0.009174311926605505,0.0,0.06422018348623854
relief,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.0,0.0,0.0
remorse,0.0,0.021739130434782608,0.0,0.0,0.021739130434782608,0.021739130434782608,0.0,0.021739130434782608,0.0,0.0,0.0,0.0,0.0,0.021739130434782608,0.043478260869565216,0.0,0.0,0.0,0.0,0.021739130434782608,0.0,0.021739130434782608,0.0,0.7391304347826086,0.06521739130434782,0.0
sadness,0.027777777777777776,0.009259259259259259,0.018518518518518517,0.027777777777777776,0.018518518518518517,0.06481481481481481,0.027777777777777776,0.027777777777777776,0.0,0.1111111111111111,0.027777777777777776,0.0,0.0,0.018518518518518517,0.0,0.0,0.0,0.009259259259259259,0.009259259259259259,0.0,0.0,0.0,0.0,0.08333333333333333,0.48148148148148145,0.037037037037037035
surprise,0.08421052631578947,0.0,0.031578947368421054,0.05263157894736842,0.010526315789473684,0.0,0.042105263157894736,0.09473684210526316,0.0,0.042105263157894736,0.06315789473684211,0.0,0.010526315789473684,0.010526315789473684,0.0,0.0,0.0,0.010526315789473684,0.0,0.021052631578947368,0.0,0.06315789473684211,0.0,0.0,0.010526315789473684,0.45263157894736844
